School Ward 2016-17,Sector,School name,Grade band,% Non-white 2014-15,% White 2014-15,% Non-white 2016-17,% White 2016-17,PK-12 Enrollment 2014-15,PK-12 Enrollment 2016-17,% living in School Ward 2016-17,% Change in Race/Ethnic Group between 2014-15 and 2016-17,% Change in Economic Group between 2014-15 and 2016-17
Ward 6,DCPS,School Within School at Goding,Elementary,0.32,0.68,0.31,0.69,248.0,307.0,0.75,0.0,0.0
Ward 6,DCPS,Seaton ES,Elementary,0.9500000000000001,0.05,0.88,0.12,295.0,341.0,0.31,0.0,1.0
Ward 6,DCPS,Stuart Hobson MS Capitol Hill Cluster,Middle,0.9,0.09,0.89,0.11,423.0,431.0,0.4,0.0,0.0
Ward 6,DCPS,Tyler ES,Elementary,0.87,0.12,0.87,0.14,522.0,514.0,0.49,0.0,0.0
Ward 6,DCPS,Walker Jones EC,Elementary/Middle,0.97,0.02,1.0,0.01,465.0,451.0,0.68,0.0,0.0
Ward 6,DCPS,Watkins ES Capitol Hill Cluster,Elementary,0.79,0.2,0.79,0.21,500.0,436.0,0.45,0.0,0.0
Ward 7,Charter,KIPP DC Quest Academy PCS,Elementary,1.0,0.0,1.0,0.0,282.0,365.0,0.73,0.0,0.0
Ward 7,DCPS,Houston ES,Elementary,1.0,0.0,0.99,0.0,279.0,299.0,0.92,0.0,0.0
Ward 7,DCPS,Nalle ES,Elementary,1.0,0.0,1.0,0.0,384.0,391.0,0.83,0.0,0.0
Ward 8,Charter,Center City PCS Congress Heights,Elementary/Middle,1.0,0.0,0.97,0.02,257.0,253.0,0.87,0.0,0.0
Ward 8,Charter,Excel Academy PCS,Elementary/Middle,1.0,0.0,1.0,0.0,155.0,702.0,0.79,0.0,0.0
Ward 8,DCPS,Leckie ES,Elementary/Middle,0.8600000000000001,0.11,0.9099999999999999,0.08,478.0,552.0,0.9,0.0,0.0
Ward 8,DCPS,Simon ES,Elementary,1.0,0.0,1.0,0.0,293.0,276.0,0.93,0.0,0.0
