timeframe,ward2012,ward2012_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2014,Ward 7,7,01Jan2014,31Dec2014,X,X,X,X,X,X,X,X,X,12114,32763
2015,Ward 7,7,01Jan2015,31Dec2015,X,X,X,X,X,X,X,X,X,11789,32767
2000,Ward 8,8,01Jan2000,31Dec2000,X,X,X,X,X,X,X,X,X,16508,24797
2001,Ward 8,8,01Jan2001,31Dec2001,X,X,X,X,X,X,X,X,X,16210,23000
2002,Ward 8,8,01Jan2002,31Dec2002,X,X,X,X,X,X,X,X,X,16333,23581
2003,Ward 8,8,01Jan2003,31Dec2003,X,X,X,X,X,X,X,X,X,16771,25454
2004,Ward 8,8,01Jan2004,31Dec2004,X,X,X,X,X,X,X,X,X,17057,26543
2005,Ward 8,8,01Jan2005,31Dec2005,X,X,X,X,X,X,X,X,X,16481,26643
2006,Ward 8,8,01Jan2006,31Dec2006,X,X,X,X,X,X,X,X,X,15158,26389
2007,Ward 8,8,01Jan2007,31Dec2007,X,X,X,X,X,X,X,X,X,14810,26566
2008,Ward 8,8,01Jan2008,31Dec2008,X,X,X,X,X,X,X,X,X,15174,28043
2009,Ward 8,8,01Jan2009,31Dec2009,X,X,X,X,X,X,X,X,X,16289,32228
2010,Ward 8,8,01Jan2010,31Dec2010,X,X,X,X,X,X,X,X,X,16672,36251
2011,Ward 8,8,01Jan2011,31Dec2011,X,X,X,X,X,X,X,X,X,17030,40256
2012,Ward 8,8,01Jan2012,31Dec2012,X,X,X,X,X,X,X,X,X,17579,42888
2013,Ward 8,8,01Jan2013,31Dec2013,X,X,X,X,X,X,X,X,X,17843,44525
2014,Ward 8,8,01Jan2014,31Dec2014,X,X,X,X,X,X,X,X,X,17926,43883
2015,Ward 8,8,01Jan2015,31Dec2015,X,X,X,X,X,X,X,X,X,16839,44022
