timeframe,ward2012,TotPop,TotPop_m,ward2012_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2000,Ward 5,71604,.,5,1-Jan-00,31-Dec-00,21,17,5.2,88,7.4,3,0.8,58,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 6,70912,.,6,1-Jan-00,31-Dec-00,18,12,7.2,64,29,3.6,2.4,61,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 7,70011,.,7,1-Jan-00,31-Dec-00,27,14,1.4,97,1.5,0.9,0.3,67,.,.,.,.,.,.,.,.,X,X,X,1
2000,Ward 8,74037,.,8,1-Jan-00,31-Dec-00,35,6.7,2,93,4.9,1.2,0.7,68,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 1,71005,.,1,1-Jan-90,31-Dec-90,19,10,23,60,20,18,1.7,52,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 2,59457,.,2,1-Jan-90,31-Dec-90,6.3,10,20,19,65,9.6,5.8,33,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 3,74271,.,3,1-Jan-90,31-Dec-90,11,16,19,4.9,84,7,4.3,13,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 4,78010,.,4,1-Jan-90,31-Dec-90,19,17,10,79,15,4.2,0.9,45,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 5,83198,.,5,1-Jan-90,31-Dec-90,20,17,3.4,86,11,1.4,0.6,56,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 6,75556,.,6,1-Jan-90,31-Dec-90,18,12,4.8,66,30,2,1.3,59,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 7,78966,.,7,1-Jan-90,31-Dec-90,25,13,1.4,96,2.4,0.9,0.2,64,.,.,.,.,.,.,.,.,X,X,X,1
1990,Ward 8,86437,.,8,1-Jan-90,31-Dec-90,32,6.3,1.5,92,6.4,1.1,0.5,67,.,.,.,.,.,.,.,.,X,X,X,1
2010,Ward 1,X,.,1,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.8,-31,-3.2,1
2010,Ward 2,X,.,2,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21,-6.1,12,1
2010,Ward 3,X,.,3,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.7,16,7.8,1
2010,Ward 4,X,.,4,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,-0.9,-15,1
